valid_time,durasi,prec24,rhmin,rhmax,tmin,tmax,ws,wd,wx,vis,vis_text,loc
2022-08-02,3,2.6,74,93,25.0,28.8,9.4,E,HR,7.5,<10,loc4
2022-08-03,3,2.5,78,95,23.7,28.2,8.0,SE,HR,9.7,<10,loc4
2022-08-04,0,1.2,71,84,25.6,28.8,14.3,SE,CLEAR,31.9,>10,loc4
2022-08-05,0,1.7,69,89,24.1,28.4,11.8,S,CLEAR,7.5,<10,loc4
2022-08-06,0,0.0,69,87,25.2,28.4,10.5,S,CLEAR,9.4,<10,loc4
2022-08-07,0,0.0,70,83,24.1,28.6,10.2,SE,CLEAR,34.5,>10,loc4
2022-08-08,3,10.8,74,91,24.7,28.9,12.5,SE,HS,5.5,<7,loc4
2022-08-09,3,4.3,78,92,24.4,28.1,10.9,E,HR,6.4,<7,loc4
2022-08-10,6,5.0,78,93,24.4,29.2,9.1,E,HR,5.5,<7,loc4
2022-08-11,0,0.6,75,93,24.6,29.7,9.4,SE,CLEAR,5.7,<7,loc4
2022-08-12,0,0.2,87,91,24.9,27.0,6.1,E,CLEAR,9.4,<10,loc4
